نوع العقار,الغرض,المدينة,الحي,الواجهة,المساحة,سعر المتر,السعر الإجمالي
أرض,سكني,الرياض,الرمال,جنوبية,900,2900.0,2610000
أرض,سكني,الرياض,ظهرة لبن,جنوبية,450,2800.0,1260000
أرض,سكني,الرياض,الرياض,جنوبية,450,2800.0,1260000
أرض,سكني,الرياض,طريق النفود,جنوبية,900,2800.0,2520000
أرض,سكني,الرياض,طريق النفود,جنوبية,450,2800.0,1260000
أرض,سكني,الرياض,القادسية,شمالية,450,2800.0,1260000
أرض,سكني,الرياض,القادسية,جنوبية,736,2800.0,2060800
أرض,سكني,الرياض,القادسية,شمالية,750,2800.0,2100000
أرض,سكني,الرياض,الاندلس,شرقية,1000,4000.0,4000000
أرض,سكني,الرياض,ضاحية نمار,جنوبية,2311,800.0,1848800
أرض,سكني,الرياض,ضاحية نمار,جنوبية,2311,800.0,1848800
أرض,سكني,الرياض,عكاظ,شمالية,1440,1388.0,1998720
أرض,سكني,الرياض,النرجس,شرقية,3540,1388.0,4913520
أرض,سكني,الرياض,النرجس,شمالية غربية,900,4000.0,3600000
أرض,سكني,الرياض,اشبيلية,شمالية غربية,2007,4000.0,8028000
أرض,سكني,الرياض,ظهرة نمار,جنوبية,706,2266.0,1599796
أرض,سكني,الرياض,الروضة,غربية,751,3700.0,2778700
أرض,سكني,الرياض,الروضة,غربية,751,3700.0,2778700
أرض,سكني,الرياض,الروضة,شمالية,750,3700.0,2775000
أرض,سكني,الرياض,الرياض,غربية,432,3700.0,1598400
أرض,سكني,الرياض,العوالي,غربية,367,3700.0,1357900
أرض,تجاري وسكني,الرياض,النسيم الغربي,جنوبية,630,1800.0,1134000
أرض,تجاري وسكني,الرياض,النسيم الغربي,جنوبية,750,1800.0,1350000
أرض,تجاري وسكني,الرياض,الروضة,غربية,750,4000.0,3000000
أرض,تجاري وسكني,الرياض,الروضة,شمالية غربية,750,4000.0,3000000
أرض,تجاري وسكني,الرياض,ضاحية نمار,غربية,750,4000.0,3000000
أرض,تجاري وسكني,الرياض,ضاحية نمار,جنوبية,750,4000.0,3000000
أرض,تجاري وسكني,الرياض,ظهرة لبن,جنوبية,450,3100.0,1395000
أرض,تجاري وسكني,الرياض,النرجس,شمالية غربية,900,4000.0,3600000
أرض,تجاري وسكني,الرياض,النرجس,جنوبية,450,3700.0,1665000
أرض,تجاري وسكني,حريملاء,الرياض,غربية,1151,3700.0,4258700
أرض,تجاري وسكني,الرياض,المشاعل,شرقية,2529,3700.0,9357300
أرض,تجاري وسكني,الرياض,ظهرة نمار,شمالية,861,3700.0,3185700
أرض,تجاري وسكني,الرياض,ظهرة لبن,جنوبية غربية,400,4500.0,1800000
أرض,تجاري وسكني,الرياض,ظهرة نمار,جنوبية,862,4500.0,3879000
أرض,تجاري وسكني,الرياض,ظهرة لبن,شرقية,918,2250.0,2065500
أرض,تجاري وسكني,الرياض,ظهرة نمار,شمالية,861,2250.0,1937250
أرض,تجاري وسكني,الرياض,طويق,جنوبية,840,2261.0,1899240
أرض,تجاري وسكني,الرياض,العوالي,جنوبية,850,2261.0,1921850
أرض,تجاري وسكني,الرياض,ظهرة نمار,جنوبية,877,2261.0,1982897
أرض,تجاري وسكني,الرياض,طويق,شمالية,900,1133.0,1019700
أرض,تجاري وسكني,الرياض,العوالي,شمالية,900,1133.0,1019700
أرض,تجاري وسكني,الرياض,الرياض,غربية,379,3150.0,1193850
أرض,تجاري وسكني,الرياض,طويق,شمالية,900,3150.0,2835000
أرض,تجاري وسكني,الرياض,العوالي,شمالية,900,3150.0,2835000
أرض,تجاري وسكني,الرياض,المهدية,شمالية,450,3150.0,1417500
أرض,تجاري وسكني,الرياض,المهدية,جنوبية غربية,400,3000.0,1200000
